promise_id,promise_text,source,text
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",news,"National Scholarship Portal 2025-26: NSP 2.0 Portal, Fees, Eligibility, Last Date, Application Status - Careers360"
P143,To establish Tigala Development Board.,news,Funds for only 7 out of 24 caste-based corps in Karnataka - Deccan Herald
P143,To establish Tigala Development Board.,news,Explained: Karnataka’s Brahmin Development Board and its two schemes for brides - The Indian Express
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,news,"‘Lottery for women, men left in lurch’: Congress MLA mocks Karnataka govt's 5 guarantees; former minister - The Times of India"
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,news,Gruha Jyothi- Siddaramaiah govt launch free power scheme in Karnataka - Utkarsh Classes
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,news,"Congress's Rs 2,000/Month Promise For ""Women Head Of Family"" In Karnataka - NDTV"
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,news,"Gruha Lakshmi Scheme to be launched today, here's all you need to know about the scheme - Moneycontrol.com"
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,news,Karnataka's Gruha Lakshmi Scheme: Registrations begin from July 19; a step-by-step guide to apply for the scheme - Zee Business
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",news,"Karnataka Budget proposes new hostels, minority residential schools and education support schemes - The Hindu"
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",news,Women Entrepreneurs Felicitated At Women’s Day Event - Deccan Chronicle
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",news,"Karnataka budget unveils Rs 1,386 crore K-QUEST project to upgrade skill training ecosystem - Moneycontrol.com"
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",news,Union Budget 2026: Full List of Government Schemes Announced By Finance Minister - ClearTax
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",news,"Nitish to transfer Rs 5,000cr to 50 lakh women under 'Mukhyamantri Mahila Rozgar Yojana' on September 22 - The Times of India"
P151,"To provide Rs.50 lakhs grant to the Grama Panchayaths which elect women as the Chairperson, over looking specific reservations",news,Strengthening Panchayati Raj Institutions in India - Drishti IAS
P153,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr",news,The BJP in Power: Indian Democracy and Religious Nationalism - Carnegie Endowment for International Peace
