promise_id,promise_text,category,evidence_googlenews,news_sources
A56,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.,Fisheries - Blue Economy,"['Highlights Of Karnataka Budget 2023 - Oneindia. Highlights Of Karnataka Budget 2023&nbsp;&nbsp;Oneindia', 'Seafood park will come up at Baindoor: Karnataka Minister Vaidya - Deccan Herald. Seafood park will come up at Baindoor: Karnataka Minister Vaidya&nbsp;&nbsp;Deccan Herald', 'Karnataka Budget 2023 | Focus on agricultural growth and infrastructure development - CNBC TV18. Karnataka Budget 2023 | Focus on agricultural growth and infrastructure development&nbsp;&nbsp;CNBC TV18', 'Karnataka Budget 2023: Emphasis on Agricultural Growth and Advancing Infra Development - Krishi Jagran. Karnataka Budget 2023: Emphasis on Agricultural Growth and Advancing Infra Development&nbsp;&nbsp;Krishi Jagran', 'Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions - CNBC TV18. Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions&nbsp;&nbsp;CNBC TV18']","['Oneindia', 'Deccan Herald', 'CNBC TV18', 'Krishi Jagran', 'CNBC TV18']"
A57,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.,Fisheries - Blue Economy,[],[]
A58,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen",Fisheries - Blue Economy,[],[]
A59,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.,Fisheries - Blue Economy,[],[]
A60,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.,Fisheries - Blue Economy,[],[]
A61,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen.",Fisheries - Blue Economy,[],[]
A62,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday.",Fisheries - Blue Economy,[],[]
A63,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).,IRRIGATION - JEEVAJALA,[],[]
A64,To pursue— and complete them within five years and provide budgetary support,IRRIGATION - JEEVAJALA,"['4 out of 5 Bengaluru’s civic entities seek Rs 6600-crore budgetary support - The Times of India. 4 out of 5 Bengaluru’s civic entities seek Rs 6600-crore budgetary support&nbsp;&nbsp;The Times of India', 'Karnataka Budget proposes new hostels, minority residential schools and education support schemes - The Hindu. Karnataka Budget proposes new hostels, minority residential schools and education support schemes&nbsp;&nbsp;The Hindu', 'Kalyana Karnataka forum urges Centre to fulfil promises in upcoming budget - The Times of India. Kalyana Karnataka forum urges Centre to fulfil promises in upcoming budget&nbsp;&nbsp;The Times of India', 'Activists seek more funds for buses in Karnataka budget; study says RTCs ignored - The Times of India. Activists seek more funds for buses in Karnataka budget; study says RTCs ignored&nbsp;&nbsp;The Times of India', 'Budget 2025: Karnataka CM Siddaramaiah calls for ‘fair’ approach from Centre, submits demands | Bengaluru - Hindustan Times. Budget 2025: Karnataka CM Siddaramaiah calls for ‘fair’ approach from Centre, submits demands | Bengaluru&nbsp;&nbsp;Hindustan Times', 'Karnataka Budget 2026: Minority Leaders Question Allocation; Seek Transparency In Fund Release, Utilisation - ETV Bharat. Karnataka Budget 2026: Minority Leaders Question Allocation; Seek Transparency In Fund Release, Utilisation&nbsp;&nbsp;ETV Bharat', 'Beneficiaries praise five guarantee schemes of Karnataka Congress, but implementation falls short - The South First. Beneficiaries praise five guarantee schemes of Karnataka Congress, but implementation falls short&nbsp;&nbsp;The South First', '5 guarantees help 1.2 crore families come out of poverty: Karnataka Guv - The Hindu. 5 guarantees help 1.2 crore families come out of poverty: Karnataka Guv&nbsp;&nbsp;The Hindu', 'All eyes on Saturday showdown: Karnataka CM Siddaramaiah vows full term delivery; DK Shivakumar wishes hi - The Times of India. All eyes on Saturday showdown: Karnataka CM Siddaramaiah vows full term delivery; DK Shivakumar wishes hi&nbsp;&nbsp;The Times of India', ""Siddaramaiah vs DK Shivakumar: Why Congress needs to stop the 'nataka' in Karnataka - The Times of India. Siddaramaiah vs DK Shivakumar: Why Congress needs to stop the 'nataka' in Karnataka&nbsp;&nbsp;The Times of India""]","['The Times of India', 'The Hindu', 'The Times of India', 'The Times of India', 'Hindustan Times', 'ETV Bharat', 'The South First', 'The Hindu', 'The Times of India', 'The Times of India']"
A65,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr",IRRIGATION - JEEVAJALA,[],[]
A66,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi",IRRIGATION - JEEVAJALA,[],[]
A67,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",IRRIGATION - JEEVAJALA,[],[]
A68,Action willbe taken to obtain necessary clearances from the Union Government,IRRIGATION - JEEVAJALA,"['Karnataka to fast-track industry approvals; CM Siddaramaiah warns action against delays - Moneycontrol.com. Karnataka to fast-track industry approvals; CM Siddaramaiah warns action against delays&nbsp;&nbsp;Moneycontrol.com', 'Karnataka Budget 2026–27: CM presents Rs 4.48 lac cr plan, new IT park for Mangaluru announced - Daijiworld. Karnataka Budget 2026–27: CM presents Rs 4.48 lac cr plan, new IT park for Mangaluru announced&nbsp;&nbsp;Daijiworld', ""Karnataka Budget 2024: CM Siddaramaiah asserts govt's commitment to implement Mekedatu, other irrigation projects - Deccan Herald. Karnataka Budget 2024: CM Siddaramaiah asserts govt's commitment to implement Mekedatu, other irrigation projects&nbsp;&nbsp;Deccan Herald"", 'Karnataka Budget: Rs 1 lakh crore needed to implement approved irrigation projects - Deccan Herald. Karnataka Budget: Rs 1 lakh crore needed to implement approved irrigation projects&nbsp;&nbsp;Deccan Herald', 'Karnataka bus strike begins: Employees defy HC order as talks fail; thousands stranded across state - The Times of India. Karnataka bus strike begins: Employees defy HC order as talks fail; thousands stranded across state&nbsp;&nbsp;The Times of India', 'Ready to discuss Mekedatu project implementation with TN, says Karnataka CM - DT Next. Ready to discuss Mekedatu project implementation with TN, says Karnataka CM&nbsp;&nbsp;DT Next', 'Karnataka threatens to move SC over delay in central funds for Upper Bhadra project - The Times of India. Karnataka threatens to move SC over delay in central funds for Upper Bhadra project&nbsp;&nbsp;The Times of India', 'Karnataka Budget 2026–27: What are the key announcements? - The South First. Karnataka Budget 2026–27: What are the key announcements?&nbsp;&nbsp;The South First', 'Transport staff to go on strike across Karnataka from today - The New Indian Express. Transport staff to go on strike across Karnataka from today&nbsp;&nbsp;The New Indian Express']","['Moneycontrol.com', 'Daijiworld', 'Deccan Herald', 'Deccan Herald', 'The Times of India', 'DT Next', 'The Times of India', 'The South First', 'The New Indian Express']"
A69,100% of the Mahadayi water allocated to Karnataka will be utilised,IRRIGATION - JEEVAJALA,['Karnataka polls: Political slugfest over Mahadayi intensifies | Bengaluru - Hindustan Times. Karnataka polls: Political slugfest over Mahadayi intensifies | Bengaluru&nbsp;&nbsp;Hindustan Times'],['Hindustan Times']
A70,Rs 500 crore will be allocated in the first cabinet meeting,IRRIGATION - JEEVAJALA,"[""Rs 12,650 crore: Karnataka cabinet approves Bengaluru's first tunnel road project - The Times of India. Rs 12,650 crore: Karnataka cabinet approves Bengaluru's first tunnel road project&nbsp;&nbsp;The Times of India"", ""Karnataka govt spent big on netas' cars, grand event for 2nd anniversary: Rs 3,357 crore supplementary bu - The Times of India. Karnataka govt spent big on netas' cars, grand event for 2nd anniversary: Rs 3,357 crore supplementary bu&nbsp;&nbsp;The Times of India"", 'Karnataka: Opposition alleges Rs 145 crore misuse in laptop scheme, seeks probe - The Times of India. Karnataka: Opposition alleges Rs 145 crore misuse in laptop scheme, seeks probe&nbsp;&nbsp;The Times of India', 'Karnataka clears Rs 193 crore funding for Hassan greenfield airport project - The News Minute. Karnataka clears Rs 193 crore funding for Hassan greenfield airport project&nbsp;&nbsp;The News Minute', ""Kumaraswamy, two BJP MPs from Karnataka expected to join PM Modi's cabinet - The Times of India. Kumaraswamy, two BJP MPs from Karnataka expected to join PM Modi's cabinet&nbsp;&nbsp;The Times of India"", 'CM Siddaramaiah proposes 500 new Karnataka Public Schools, AI-based learning - The Indian Express. CM Siddaramaiah proposes 500 new Karnataka Public Schools, AI-based learning&nbsp;&nbsp;The Indian Express', 'YS Sharmila meets DK Shivakumar in Bengaluru amid talks of YSRTP-Congress alliance - The Times of India. YS Sharmila meets DK Shivakumar in Bengaluru amid talks of YSRTP-Congress alliance&nbsp;&nbsp;The Times of India', 'Karnataka budget: Siddaramaiah aims to make Bengaluru ‘most liveable city’, but offers no big-ticket schemes - The Indian Express. Karnataka budget: Siddaramaiah aims to make Bengaluru ‘most liveable city’, but offers no big-ticket schemes&nbsp;&nbsp;The Indian Express', ""Justice D'Cunha report leak calls for prosecution of former Karnataka CM BS Yediyurappa, Sriramulu ahead - The Times of India. Justice D'Cunha report leak calls for prosecution of former Karnataka CM BS Yediyurappa, Sriramulu ahead&nbsp;&nbsp;The Times of India"", 'Karnataka plans Rohith Vemula Bill to tackle caste discrimination on campuses: CM Siddaramaiah - MSN. Karnataka plans Rohith Vemula Bill to tackle caste discrimination on campuses: CM Siddaramaiah&nbsp;&nbsp;MSN']","['The Times of India', 'The Times of India', 'The Times of India', 'The News Minute', 'The Times of India', 'The Indian Express', 'The Times of India', 'The Indian Express', 'The Times of India', 'MSN']"
A71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,IRRIGATION - JEEVAJALA,['Karnataka polls: Political slugfest over Mahadayi intensifies | Bengaluru - Hindustan Times. Karnataka polls: Political slugfest over Mahadayi intensifies | Bengaluru&nbsp;&nbsp;Hindustan Times'],['Hindustan Times']
A72,"Priority will be given to drinking water, agriculture, and then to electricity generation",IRRIGATION - JEEVAJALA,"['Drops of life: Karnataka likely to witness drinking water shortage this summer - The New Indian Express. Drops of life: Karnataka likely to witness drinking water shortage this summer&nbsp;&nbsp;The New Indian Express', 'Our priority is only development, not vote bank, says PM Modi in poll-bound Karnataka - The Hindu. Our priority is only development, not vote bank, says PM Modi in poll-bound Karnataka&nbsp;&nbsp;The Hindu', 'Karnataka Budget 2026–27 puts focus on welfare, infrastructure and development - The South First. Karnataka Budget 2026–27 puts focus on welfare, infrastructure and development&nbsp;&nbsp;The South First', 'Water crisis 2024: Bengaluru parched, but cities across India struggling too - Citizen Matters. Water crisis 2024: Bengaluru parched, but cities across India struggling too&nbsp;&nbsp;Citizen Matters', 'Mekedatu, Upper Krishna projects will be implemented if Centre grants approval: Karnataka Deputy CM Shivakumar - The News Minute. Mekedatu, Upper Krishna projects will be implemented if Centre grants approval: Karnataka Deputy CM Shivakumar&nbsp;&nbsp;The News Minute', 'Overview of Karnataka Budget 2023-24 - NammaKPSC. Overview of Karnataka Budget 2023-24&nbsp;&nbsp;NammaKPSC', 'How safe is Karnataka’s groundwater usage?Safe today, vulnerable tomorrow - The Times of India. How safe is Karnataka’s groundwater usage?Safe today, vulnerable tomorrow&nbsp;&nbsp;The Times of India', 'Karnataka Budget 2025: Key takeaways - Deccan Herald. Karnataka Budget 2025: Key takeaways&nbsp;&nbsp;Deccan Herald', 'How Karnataka Is Delivering Rations To People Aged 90 & Above - Indiaspend. How Karnataka Is Delivering Rations To People Aged 90 & Above&nbsp;&nbsp;Indiaspend', 'Karnataka Villagers booked over bid to lay pipeline in forest - The Times of India. Karnataka Villagers booked over bid to lay pipeline in forest&nbsp;&nbsp;The Times of India']","['The New Indian Express', 'The Hindu', 'The South First', 'Citizen Matters', 'The News Minute', 'NammaKPSC', 'The Times of India', 'Deccan Herald', 'Indiaspend', 'The Times of India']"
A73,Congress will ensure responsible and secure rehabilitation of project affected families,IRRIGATION - JEEVAJALA,[],[]
A74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,IRRIGATION - JEEVAJALA,[],[]
A75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",IRRIGATION - JEEVAJALA,[],[]
A76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,Industry and Commerce,[],[]
A77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,Industry and Commerce,[],[]
A78,To provide start-up fund of Rs. 10 crores to each constituency.,Industry and Commerce,"['Each MLA in Karnataka to get ₹50 crore for developmental work in their constituency: Report | Bengaluru - Hindustan Times. Each MLA in Karnataka to get ₹50 crore for developmental work in their constituency: Report | Bengaluru&nbsp;&nbsp;Hindustan Times', 'Rs 50 crore for Congress MLAs, Rs 25 crore for BJP’s: Uneven road funds for Bengaluru sparks opposition o - The Times of India. Rs 50 crore for Congress MLAs, Rs 25 crore for BJP’s: Uneven road funds for Bengaluru sparks opposition o&nbsp;&nbsp;The Times of India', 'Karnataka poll expenditure more than trebles to 511 crore in 10 years - The Times of India. Karnataka poll expenditure more than trebles to 511 crore in 10 years&nbsp;&nbsp;The Times of India', '‘Pothole-free’: Bengaluru gets Rs 1,100 crore to fix its roads - The Times of India. ‘Pothole-free’: Bengaluru gets Rs 1,100 crore to fix its roads&nbsp;&nbsp;The Times of India', 'Karnataka government seeks aid from corporates to build public schools - The Times of India. Karnataka government seeks aid from corporates to build public schools&nbsp;&nbsp;The Times of India', 'Karnataka Budget 2026: ST Commission, Buddhist body for Ahinda - Deccan Herald. Karnataka Budget 2026: ST Commission, Buddhist body for Ahinda&nbsp;&nbsp;Deccan Herald', '11 MLAs complain in letter, Karnataka CM Siddaramaiah and deputy CM DK Shivakumar say all is well - The Times of India. 11 MLAs complain in letter, Karnataka CM Siddaramaiah and deputy CM DK Shivakumar say all is well&nbsp;&nbsp;The Times of India']","['Hindustan Times', 'The Times of India', 'The Times of India', 'The Times of India', 'The Times of India', 'Deccan Herald', 'The Times of India']"
A79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",Industry and Commerce,[],[]
A80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,Industry and Commerce,[],[]
A81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,Industry and Commerce,"[""Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP - Business Today. Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP&nbsp;&nbsp;Business Today""]",['Business Today']
A82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,Industry and Commerce,[],[]
A83,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",Industry and Commerce,[],[]
A84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Industry and Commerce,"['Union budget: Karnataka pushes Centre for Rs 11.5k-crore dues - The Times of India. Union budget: Karnataka pushes Centre for Rs 11.5k-crore dues&nbsp;&nbsp;The Times of India', 'Karnataka Budget 2025: Key takeaways - Deccan Herald. Karnataka Budget 2025: Key takeaways&nbsp;&nbsp;Deccan Herald', ""Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP - Business Today. Karnataka elections: Congress manifesto aims to expand IT contribution to over 25% of state's GDP&nbsp;&nbsp;Business Today"", ""BJP vs Congress: How business took a backseat in Karnataka's state election campaign - The Economic Times. BJP vs Congress: How business took a backseat in Karnataka's state election campaign&nbsp;&nbsp;The Economic Times""]","['The Times of India', 'Deccan Herald', 'Business Today', 'The Economic Times']"
A85,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",MSMEs:,[],[]
A86,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,MSMEs:,[],[]
A87,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",Tourism,['Overview of Karnataka Budget 2023-24 - NammaKPSC. Overview of Karnataka Budget 2023-24&nbsp;&nbsp;NammaKPSC'],['NammaKPSC']
A88,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,Tourism,[],[]
A89,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions.,Tourism,[],[]
A90,To give Industry Status to Hotels with more than 20 employees.,Hotel and Hospitality Industry,"['Minister asks Karnataka hotels to switch to power - The Times of India. Minister asks Karnataka hotels to switch to power&nbsp;&nbsp;The Times of India', 'Private sector employees cannot register new vehicles under BH series in Karnataka - The Hindu. Private sector employees cannot register new vehicles under BH series in Karnataka&nbsp;&nbsp;The Hindu', 'Karnataka High Court directs State government to give status report on implementation of Rights of Persons with Disabilities Act - The Hindu. Karnataka High Court directs State government to give status report on implementation of Rights of Persons with Disabilities Act&nbsp;&nbsp;The Hindu', 'Karnataka High Court recalls stay on one-day monthly menstrual leave for women employees; to hear government’s arguments on Dec 10 - The Hindu. Karnataka High Court recalls stay on one-day monthly menstrual leave for women employees; to hear government’s arguments on Dec 10&nbsp;&nbsp;The Hindu', 'Karnataka govt extends paid menstrual leave to its staff; 1.5 lakh will benefit - The Times of India. Karnataka govt extends paid menstrual leave to its staff; 1.5 lakh will benefit&nbsp;&nbsp;The Times of India', 'Karnataka to allocate 20% of daily commercial LPG supply: Minister | India News - Hindustan Times. Karnataka to allocate 20% of daily commercial LPG supply: Minister | India News&nbsp;&nbsp;Hindustan Times', 'Karnataka moves to expand disability rights with new job and education quotas in private sector - The Hindu. Karnataka moves to expand disability rights with new job and education quotas in private sector&nbsp;&nbsp;The Hindu', 'HC directs Karnataka to ‘strictly and faithfully’ implement menstrual leave policy - The Hindu. HC directs Karnataka to ‘strictly and faithfully’ implement menstrual leave policy&nbsp;&nbsp;The Hindu', 'Karnataka Budget 2025-26: Allocation to the education sector cut by 2% - The Hindu. Karnataka Budget 2025-26: Allocation to the education sector cut by 2%&nbsp;&nbsp;The Hindu', 'Karnataka Chief Minister launches KSRTC Arogya scheme for cashless medical treatment - The Hindu. Karnataka Chief Minister launches KSRTC Arogya scheme for cashless medical treatment&nbsp;&nbsp;The Hindu']","['The Times of India', 'The Hindu', 'The Hindu', 'The Hindu', 'The Times of India', 'Hindustan Times', 'The Hindu', 'The Hindu', 'The Hindu', 'The Hindu']"
A91,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,Hotel and Hospitality Industry,[],[]
A92,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",Power and Energy,"['Karnataka state formally Launched Gruha Jyothi scheme, 200 units of free electricity in the state - The Financial World. Karnataka state formally Launched Gruha Jyothi scheme, 200 units of free electricity in the state&nbsp;&nbsp;The Financial World', ""Registration for 'Gruha Jyoti' scheme to avail free electricity postponed to June 18 in Karnataka - Vartha Bharati. Registration for 'Gruha Jyoti' scheme to avail free electricity postponed to June 18 in Karnataka&nbsp;&nbsp;Vartha Bharati"", ""Registration for 'Gruha Jyoti' scheme to avail free electricity postponed to June 18 in Karnataka - Telegraph India. Registration for 'Gruha Jyoti' scheme to avail free electricity postponed to June 18 in Karnataka&nbsp;&nbsp;Telegraph India"", 'How To Apply For Gruha Jyoti Scheme Karnataka - All About Belgaum. How To Apply For Gruha Jyoti Scheme Karnataka&nbsp;&nbsp;All About Belgaum', 'Congress’ five freebies in Karnataka: How it will affect farmers - The Times of India. Congress’ five freebies in Karnataka: How it will affect farmers&nbsp;&nbsp;The Times of India', '‘People are god’: DK Shivakumar at launch of ‘Govt at Your Doorstep’ | Bengaluru - Hindustan Times. ‘People are god’: DK Shivakumar at launch of ‘Govt at Your Doorstep’ | Bengaluru&nbsp;&nbsp;Hindustan Times']","['The Financial World', 'Vartha Bharati', 'Telegraph India', 'All About Belgaum', 'The Times of India', 'Hindustan Times']"
A93,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,Power and Energy,[],[]
A94,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,Power and Energy,[],[]
A95,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",Power and Energy,[],[]
A96,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,Transportation,"['Women in Karnataka record over 100 crore free bus rides under Shakti scheme - Moneycontrol.com. Women in Karnataka record over 100 crore free bus rides under Shakti scheme&nbsp;&nbsp;Moneycontrol.com', 'Free bus travel for women in Karnataka | How does Shakti scheme work? - The Hindu. Free bus travel for women in Karnataka | How does Shakti scheme work?&nbsp;&nbsp;The Hindu', 'Smart travel: Soon, Shakti card to enable women’s travel on buses and Metro in Bengaluru - The Times of India. Smart travel: Soon, Shakti card to enable women’s travel on buses and Metro in Bengaluru&nbsp;&nbsp;The Times of India', 'Shakti scheme for free bus travel: A look at the finances of Karnataka transport bodies - The Indian Express. Shakti scheme for free bus travel: A look at the finances of Karnataka transport bodies&nbsp;&nbsp;The Indian Express', 'Karnataka: Women, transgender persons can travel for free in government buses from June 11 - The Indian Express. Karnataka: Women, transgender persons can travel for free in government buses from June 11&nbsp;&nbsp;The Indian Express', 'Free bus travel for women in Karnataka from June 1: Transport Minister - The Hindu. Free bus travel for women in Karnataka from June 1: Transport Minister&nbsp;&nbsp;The Hindu', 'KSRTC: 1.2 crore women in Karnataka set to apply for Shakti smart cards - The Times of India. KSRTC: 1.2 crore women in Karnataka set to apply for Shakti smart cards&nbsp;&nbsp;The Times of India', 'Newly found ‘Shakti’ makes it possible for women to visit faraway temples like Kukke Subrahmanya in Karnataka - The Hindu. Newly found ‘Shakti’ makes it possible for women to visit faraway temples like Kukke Subrahmanya in Karnataka&nbsp;&nbsp;The Hindu', 'Karnataka: 11 months on, free bus rides for women cross 200 crore - The Times of India. Karnataka: 11 months on, free bus rides for women cross 200 crore&nbsp;&nbsp;The Times of India', 'Row over ‘London Book of World Record’ recognition for Karnataka’s Shakti Scheme, KSRTC - The Hindu. Row over ‘London Book of World Record’ recognition for Karnataka’s Shakti Scheme, KSRTC&nbsp;&nbsp;The Hindu']","['Moneycontrol.com', 'The Hindu', 'The Times of India', 'The Indian Express', 'The Indian Express', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'The Hindu']"
A97,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,Transportation,"['Karnataka: Gruha Shakti scheme offers free travel to women, increasing footfall and revenue dramatically - SabrangIndia. Karnataka: Gruha Shakti scheme offers free travel to women, increasing footfall and revenue dramatically&nbsp;&nbsp;SabrangIndia']",['SabrangIndia']
A98,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,Transportation,[],[]
A99,To increase the fleet strength of BMTC — to 10000 in five years.,Transportation,"['PM e-Drive scheme: Electric buses to take Bengaluru fleet size to over 10,000 - The Times of India. PM e-Drive scheme: Electric buses to take Bengaluru fleet size to over 10,000&nbsp;&nbsp;The Times of India']",['The Times of India']
A100,To increase the KSRTC fleet — to 15000 Busses in five years,Transportation,"['Free bus travel for women: Karnataka needs to quickly add buses to cater to spike in demand - Moneycontrol.com. Free bus travel for women: Karnataka needs to quickly add buses to cater to spike in demand&nbsp;&nbsp;Moneycontrol.com', 'Bengaluru’s public transport share to dip from 50% to 30% by 2031 - The Times of India. Bengaluru’s public transport share to dip from 50% to 30% by 2031&nbsp;&nbsp;The Times of India', 'Will this new cashless travel technology in Karnataka be a boon for travellers? - Travel And Tour World. Will this new cashless travel technology in Karnataka be a boon for travellers?&nbsp;&nbsp;Travel And Tour World']","['Moneycontrol.com', 'The Times of India', 'Travel And Tour World']"
A101,To launch arural minibus program in collaboration with public participation,Transportation,[],[]
A102,To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,"Mining, Forest & Environment Protection",[],[]
A103,ANNABHAGYA 10 kgs of free rice supply per person,"Food, Civil Supplies and Consumer issues:","[""Karnataka Congress revives 'Anna Bhagya' as poll guarantee: 10 kg free rice for BPL families - The South First. Karnataka Congress revives 'Anna Bhagya' as poll guarantee: 10 kg free rice for BPL families&nbsp;&nbsp;The South First"", 'Karnataka to provide 10 kg rice instead of cash under Anna Bhagya scheme - The News Minute. Karnataka to provide 10 kg rice instead of cash under Anna Bhagya scheme&nbsp;&nbsp;The News Minute', 'Karnataka to end cash transfers under Anna Bhagya, full 10 kg rice distribution from February: Report | Bengaluru - Hindustan Times. Karnataka to end cash transfers under Anna Bhagya, full 10 kg rice distribution from February: Report | Bengaluru&nbsp;&nbsp;Hindustan Times', 'Karnataka to provide additional 5 kg rice instead of cash under Anna Bhagya from this month - The Hindu. Karnataka to provide additional 5 kg rice instead of cash under Anna Bhagya from this month&nbsp;&nbsp;The Hindu', 'Karnataka Anna Bhagya Scheme: State govt begins cash disbursal in lieu of 5 kg rice - Zee Business. Karnataka Anna Bhagya Scheme: State govt begins cash disbursal in lieu of 5 kg rice&nbsp;&nbsp;Zee Business', 'Anna Bhagya scheme | Karnataka BPL families will get cash instead of free rice promised - The Hindu. Anna Bhagya scheme | Karnataka BPL families will get cash instead of free rice promised&nbsp;&nbsp;The Hindu', 'Union government gives in: FCI agrees to supply rice for Anna Bhagya Scheme in Karnataka - The South First. Union government gives in: FCI agrees to supply rice for Anna Bhagya Scheme in Karnataka&nbsp;&nbsp;The South First', 'FCI told to stop rice supply in Karnataka, Centre trying to scuttle Anna Bhagya scheme: CM Siddaramaiah - The Times of India. FCI told to stop rice supply in Karnataka, Centre trying to scuttle Anna Bhagya scheme: CM Siddaramaiah&nbsp;&nbsp;The Times of India', 'Launch of Anna Bhagya on July 1 hangs in balance after FCI refuses to sell rice to Karnataka - The Hindu. Launch of Anna Bhagya on July 1 hangs in balance after FCI refuses to sell rice to Karnataka&nbsp;&nbsp;The Hindu', 'Punjab steps in to help Karnataka with its free rice scheme - The Hindu. Punjab steps in to help Karnataka with its free rice scheme&nbsp;&nbsp;The Hindu']","['The South First', 'The News Minute', 'Hindustan Times', 'The Hindu', 'Zee Business', 'The Hindu', 'The South First', 'The Times of India', 'The Hindu', 'The Hindu']"
A104,Torejuvenate existing Indira Canteens and extend them throughout the state.,"Food, Civil Supplies and Consumer issues:",['250 Indira Canteens to be opened in Bengaluru city: CM Siddaramaiah - The Hans India. 250 Indira Canteens to be opened in Bengaluru city: CM Siddaramaiah&nbsp;&nbsp;The Hans India'],['The Hans India']
