promise_id,promise_text,category,evidence_googlenews,news_sources
A11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Public Works:,[],[]
A12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",Public Works:,[],[]
A13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Police,[],[]
A14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Police,"['Now recruits to get training only at 12 PTS, Karnataka Police Academy - The Times of India. Now recruits to get training only at 12 PTS, Karnataka Police Academy&nbsp;&nbsp;The Times of India', 'Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI - Deccan Chronicle. Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI&nbsp;&nbsp;Deccan Chronicle', 'Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu. Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP&nbsp;&nbsp;The Hindu']","['The Times of India', 'Deccan Chronicle', 'The Hindu']"
A15,To provide housing to all the police personnel within five years.,Police,"['Government will provide residential quarters to 1 lakh police personnel, says Karnataka Home Minister - The Hindu. Government will provide residential quarters to 1 lakh police personnel, says Karnataka Home Minister&nbsp;&nbsp;The Hindu', 'Whistleblower letter exposes “in-house justice” at Bengaluru apartment complex, police file FIR - The Hindu. Whistleblower letter exposes “in-house justice” at Bengaluru apartment complex, police file FIR&nbsp;&nbsp;The Hindu', 'Miscreants posing as police rob 25-year-old at his home in Bengaluru; four held - The Hindu. Miscreants posing as police rob 25-year-old at his home in Bengaluru; four held&nbsp;&nbsp;The Hindu', 'Set prison in order, Karnataka HC directs authorities after 4-year-delay in producing an undertrial before Magistrate - The Hindu. Set prison in order, Karnataka HC directs authorities after 4-year-delay in producing an undertrial before Magistrate&nbsp;&nbsp;The Hindu', 'Karnataka govt job aspirants get 5-year age relaxation - The Indian Express. Karnataka govt job aspirants get 5-year age relaxation&nbsp;&nbsp;The Indian Express', 'Lokayukta raids unearth Rs 24 Crore in assets from five govt officers across Karnataka - The Indian Express. Lokayukta raids unearth Rs 24 Crore in assets from five govt officers across Karnataka&nbsp;&nbsp;The Indian Express', 'Lokayukta police raid 5 Karnataka government officials in disproportionate assets cases - The Times of India. Lokayukta police raid 5 Karnataka government officials in disproportionate assets cases&nbsp;&nbsp;The Times of India', ""'Mane Manege': Knock knock! It’s your friendly neighbourhood Bengaluru police at the doorstep; officers t - The Times of India. 'Mane Manege': Knock knock! It’s your friendly neighbourhood Bengaluru police at the doorstep; officers t&nbsp;&nbsp;The Times of India"", ""Law but no order: Karnataka suspends 236 'dirty' cops, 42 face criminal cases; Bengaluru sleuths top list - The Times of India. Law but no order: Karnataka suspends 236 'dirty' cops, 42 face criminal cases; Bengaluru sleuths top list&nbsp;&nbsp;The Times of India"", 'Fear of Waqf taking over houses sets off violence in Karnataka village - The Times of India. Fear of Waqf taking over houses sets off violence in Karnataka village&nbsp;&nbsp;The Times of India']","['The Hindu', 'The Hindu', 'The Hindu', 'The Hindu', 'The Indian Express', 'The Indian Express', 'The Times of India', 'The Times of India', 'The Times of India', 'The Times of India']"
A16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Police,[],[]
A17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,LAW AND JUSTICE -- All are equal before law.,['Karnataka Budget 2025: Key takeaways - Deccan Herald. Karnataka Budget 2025: Key takeaways&nbsp;&nbsp;Deccan Herald'],['Deccan Herald']
A18,To reduce registration fee concerning Gift & Will on landed property within the family .,LAW AND JUSTICE -- All are equal before law.,"['Karnataka doubles property registration fee with effect from tomorrow - The Indian Express. Karnataka doubles property registration fee with effect from tomorrow&nbsp;&nbsp;The Indian Express', 'Bengaluru e-khata scam: 5 sub-registrars suspended after 1,332 illegal property registrations - The Times of India. Bengaluru e-khata scam: 5 sub-registrars suspended after 1,332 illegal property registrations&nbsp;&nbsp;The Times of India', 'Karnataka moves to let registrars scrap fake registrations - The Times of India. Karnataka moves to let registrars scrap fake registrations&nbsp;&nbsp;The Times of India', 'Close to 68% of women aged 15-49 in Karnataka own house or land alone or jointly with family members - The Hindu. Close to 68% of women aged 15-49 in Karnataka own house or land alone or jointly with family members&nbsp;&nbsp;The Hindu', 'No red tape: Automatic mutation to expedite land transactions in Karnataka - The Times of India. No red tape: Automatic mutation to expedite land transactions in Karnataka&nbsp;&nbsp;The Times of India', 'Applying for e-khata in Bengaluru: All you need to know - Citizen Matters. Applying for e-khata in Bengaluru: All you need to know&nbsp;&nbsp;Citizen Matters']","['The Indian Express', 'The Times of India', 'The Times of India', 'The Hindu', 'The Times of India', 'Citizen Matters']"
A19,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",LAW AND JUSTICE -- All are equal before law.,"['Karnataka polls: Bajrang Dal stages protest against Congress manifesto to ban organisation - ANI News. Karnataka polls: Bajrang Dal stages protest against Congress manifesto to ban organisation&nbsp;&nbsp;ANI News', 'Karnataka polls: Congress to ban Bajrang Dal, PFI if voted to power - The New Indian Express. Karnataka polls: Congress to ban Bajrang Dal, PFI if voted to power&nbsp;&nbsp;The New Indian Express', ""Bajrang Dal to conduct 'Hanuman Chalisa' recital programme in Karnataka, in counter to Congress - Oneindia. Bajrang Dal to conduct 'Hanuman Chalisa' recital programme in Karnataka, in counter to Congress&nbsp;&nbsp;Oneindia"", 'Karnataka poll: Congress releases manifesto, vows 200 units of free electricity, monthly allowances for w - The Times of India. Karnataka poll: Congress releases manifesto, vows 200 units of free electricity, monthly allowances for w&nbsp;&nbsp;The Times of India']","['ANI News', 'The New Indian Express', 'Oneindia', 'The Times of India']"
A20,To set up high-speed WiFi hotspots in every Panchayath.,Regional and Rural Development,[],[]
A21,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",Regional and Rural Development,[],[]
A22,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,Urban Development,"['Rs 1 lakh crore to develop Bengaluru as India’s second capital: Cong manifesto - The News Minute. Rs 1 lakh crore to develop Bengaluru as India’s second capital: Cong manifesto&nbsp;&nbsp;The News Minute', 'Congress promises action, including ban, on organisations spreading hatred in Karnataka manifesto - Telegraph India. Congress promises action, including ban, on organisations spreading hatred in Karnataka manifesto&nbsp;&nbsp;Telegraph India']","['The News Minute', 'Telegraph India']"
A23,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",Urban Development,[],[]
